GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
MISS_battery_moderate_0,2050,Battery_*_Moderate,MISS,Electricity,0.00130236,0.00428716,841.748
MISS_nuclear_nuclear_moderate_0,2030,Nuclear_Nuclear_Moderate,MISS,Uranium,2.44553e-06,.,10.3225
MISS_nuclear_nuclear_moderate_0,2040,Nuclear_Nuclear_Moderate,MISS,Uranium,1.888e-06,.,7.62566
MISS_nuclear_nuclear_moderate_0,2050,Nuclear_Nuclear_Moderate,MISS,Uranium,1.85912e-08,.,0.124567
MISS_hydrogen_ctavgcf_moderate_0,2030,Hydrogen_CTAvgCF_Moderate,MISS,Hydrogen,4.90827e-06,.,4.49515
MISS_hydrogen_ctavgcf_moderate_0,2040,Hydrogen_CTAvgCF_Moderate,MISS,Hydrogen,1.7041e-06,.,1.47085
MISS_hydrogen_ctavgcf_moderate_0,2050,Hydrogen_CTAvgCF_Moderate,MISS,Hydrogen,1.49265e-05,.,12.2789
MISS_hydrogen_ccavgcf_moderate_0,2030,Hydrogen_CCAvgCF_Moderate,MISS,Hydrogen,4.5315e-06,.,4.72884
MISS_hydrogen_ccavgcf_moderate_0,2040,Hydrogen_CCAvgCF_Moderate,MISS,Hydrogen,1.42712e-06,.,1.42698
MISS_hydrogen_ccavgcf_moderate_0,2050,Hydrogen_CCAvgCF_Moderate,MISS,Hydrogen,1.05658e-05,.,10.1641
MISS_utilitypv_class1_moderate_0,2030,UtilityPV_Class1_Moderate,MISS,Solar,4.31109e-05,.,39.0448
MISS_utilitypv_class1_moderate_0,2040,UtilityPV_Class1_Moderate,MISS,Solar,1849.59,.,1.32715e+09
MISS_utilitypv_class1_moderate_0,2050,UtilityPV_Class1_Moderate,MISS,Solar,4.43435e-07,.,0.289624
MISS_utilitypv_class1_moderate_1,2030,UtilityPV_Class1_Moderate,MISS,Solar,5.24769e-05,.,48.2296
MISS_utilitypv_class1_moderate_1,2040,UtilityPV_Class1_Moderate,MISS,Solar,7370.18,.,5.38699e+09
MISS_utilitypv_class1_moderate_1,2050,UtilityPV_Class1_Moderate,MISS,Solar,7.73761e-06,.,5.15725
MISS_utilitypv_class1_moderate_2,2030,UtilityPV_Class1_Moderate,MISS,Solar,3.83078e-05,.,34.7596
MISS_utilitypv_class1_moderate_2,2040,UtilityPV_Class1_Moderate,MISS,Solar,4605.93,.,3.31273e+09
MISS_utilitypv_class1_moderate_2,2050,UtilityPV_Class1_Moderate,MISS,Solar,1.26203e-06,.,0.826418
MISS_utilitypv_class1_moderate_3,2030,UtilityPV_Class1_Moderate,MISS,Solar,4.09481e-05,.,37.8661
MISS_utilitypv_class1_moderate_3,2040,UtilityPV_Class1_Moderate,MISS,Solar,4603.01,.,3.39052e+09
MISS_utilitypv_class1_moderate_3,2050,UtilityPV_Class1_Moderate,MISS,Solar,3.2989e-05,.,22.1748
MISS_utilitypv_class1_moderate_4,2030,UtilityPV_Class1_Moderate,MISS,Solar,3.43554e-05,.,32.1153
MISS_utilitypv_class1_moderate_4,2040,UtilityPV_Class1_Moderate,MISS,Solar,1987.71,.,1.48412e+09
MISS_utilitypv_class1_moderate_4,2050,UtilityPV_Class1_Moderate,MISS,Solar,1.25251e-06,.,0.854523
MISS_utilitypv_class1_moderate_5,2030,UtilityPV_Class1_Moderate,MISS,Solar,3.26696e-05,.,30.1148
MISS_utilitypv_class1_moderate_5,2040,UtilityPV_Class1_Moderate,MISS,Solar,7209.17,.,5.28903e+09
