GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
CANO_conventional_hydroelectric_1,1906,2.0
CANO_conventional_hydroelectric_1,1913,26.4
CANO_conventional_hydroelectric_1,1920,25.2
CANO_conventional_hydroelectric_1,1921,54.8
CANO_conventional_hydroelectric_1,1922,74.2
CANO_conventional_hydroelectric_1,1923,4.2
CANO_conventional_hydroelectric_1,1924,25.0
CANO_conventional_hydroelectric_1,1925,69.9
CANO_conventional_hydroelectric_1,1927,34.0
CANO_conventional_hydroelectric_1,1928,79.4
CANO_conventional_hydroelectric_1,1929,45.0
CANO_conventional_hydroelectric_1,1931,69.0
CANO_conventional_hydroelectric_1,1944,448.0
CANO_conventional_hydroelectric_1,1948,382.0
CANO_conventional_hydroelectric_1,1949,255.0
CANO_conventional_hydroelectric_1,1950,200.0
CANO_conventional_hydroelectric_1,1953,33.0
CANO_conventional_hydroelectric_1,1955,310.09999999999997
CANO_conventional_hydroelectric_1,1957,61.2
CANO_conventional_hydroelectric_1,1958,530.0
CANO_conventional_hydroelectric_1,1960,156.8
CANO_conventional_hydroelectric_1,1961,78.1
CANO_conventional_hydroelectric_1,1962,130.1
CANO_conventional_hydroelectric_1,1963,483.4
CANO_conventional_hydroelectric_1,1964,320.0
CANO_conventional_hydroelectric_1,1965,372.5
CANO_conventional_hydroelectric_1,1966,304.0
CANO_conventional_hydroelectric_1,1967,173.5
CANO_conventional_hydroelectric_1,1968,711.9000000000001
CANO_conventional_hydroelectric_1,1969,632.4
CANO_conventional_hydroelectric_1,1971,239.1
CANO_conventional_hydroelectric_1,1979,390.0
CANO_conventional_hydroelectric_1,1983,155.5
CANO_conventional_hydroelectric_1,1984,165.0
CANO_conventional_hydroelectric_1,1985,14.400000000000002
CANO_conventional_hydroelectric_1,1986,20.0
CANO_conventional_hydroelectric_1,1987,36.5
CANO_conventional_hydroelectric_1,1989,291.2
CANO_conventional_hydroelectric_1,1990,0.8
CANO_conventional_hydroelectric_1,2017,7.3
CANO_conventional_hydroelectric_1,2020,2.7
CANO_hydroelectric_pumped_storage_1,1967,307.2
CANO_hydroelectric_pumped_storage_1,1968,435.29999999999995
CANO_hydroelectric_pumped_storage_1,1969,122.6
CANO_hydroelectric_pumped_storage_1,1984,1212.0
CANO_hydroelectric_pumped_storage_1,1987,199.8
CANO_natural_gas_fired_combined_cycle_1,1987,254.5
CANO_natural_gas_fired_combined_cycle_1,1989,150.5
CANO_natural_gas_fired_combined_cycle_1,1990,73.1
CANO_natural_gas_fired_combined_cycle_1,1992,104.0
CANO_natural_gas_fired_combined_cycle_1,1995,357.2
