GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
CANO_landbasedwind_class3_moderate_2,2030,LandbasedWind_Class3_Moderate,CANO,Wind,613.204,.,1.77634e+09
CANO_landbasedwind_class3_moderate_2,2040,LandbasedWind_Class3_Moderate,CANO,Wind,8.72182e-08,.,0.210673
CANO_landbasedwind_class3_moderate_2,2050,LandbasedWind_Class3_Moderate,CANO,Wind,1.48613e-08,.,0.0329009
CANO_landbasedwind_class3_moderate_3,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.85251e-05,.,59.6009
CANO_landbasedwind_class3_moderate_3,2040,LandbasedWind_Class3_Moderate,CANO,Wind,0.000226358,.,619.308
CANO_landbasedwind_class3_moderate_3,2050,LandbasedWind_Class3_Moderate,CANO,Wind,995.49,.,2.52293e+09
CANO_landbasedwind_class3_moderate_4,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.35008e-05,.,43.8897
CANO_landbasedwind_class3_moderate_4,2040,LandbasedWind_Class3_Moderate,CANO,Wind,2.31879e-05,.,64.22
CANO_landbasedwind_class3_moderate_4,2050,LandbasedWind_Class3_Moderate,CANO,Wind,0.000117815,.,302.542
CANO_landbasedwind_class3_moderate_5,2030,LandbasedWind_Class3_Moderate,CANO,Wind,341.483,.,1.0172e+09
CANO_landbasedwind_class3_moderate_5,2040,LandbasedWind_Class3_Moderate,CANO,Wind,5.20349e-07,.,1.29953
CANO_landbasedwind_class3_moderate_5,2050,LandbasedWind_Class3_Moderate,CANO,Wind,4.38681e-08,.,0.100713
CANO_landbasedwind_class3_moderate_6,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.13573e-05,.,36.5877
CANO_landbasedwind_class3_moderate_6,2040,LandbasedWind_Class3_Moderate,CANO,Wind,1.36107e-05,.,37.2955
CANO_landbasedwind_class3_moderate_6,2050,LandbasedWind_Class3_Moderate,CANO,Wind,5.30004e-05,.,134.544
CANO_landbasedwind_class3_moderate_7,2030,LandbasedWind_Class3_Moderate,CANO,Wind,93.555,.,3.17306e+08
CANO_landbasedwind_class3_moderate_7,2040,LandbasedWind_Class3_Moderate,CANO,Wind,3.54663e-08,.,0.103218
CANO_landbasedwind_class3_moderate_7,2050,LandbasedWind_Class3_Moderate,CANO,Wind,4.67072e-08,.,0.126516
CANO_landbasedwind_class3_moderate_8,2030,LandbasedWind_Class3_Moderate,CANO,Wind,9.34235e-06,.,29.6694
CANO_landbasedwind_class3_moderate_8,2040,LandbasedWind_Class3_Moderate,CANO,Wind,6.77332e-06,.,18.2504
CANO_landbasedwind_class3_moderate_8,2050,LandbasedWind_Class3_Moderate,CANO,Wind,2.40758e-05,.,60.0174
CANO_landbasedwind_class3_moderate_9,2030,LandbasedWind_Class3_Moderate,CANO,Wind,5.90822e-05,.,180.908
CANO_landbasedwind_class3_moderate_9,2040,LandbasedWind_Class3_Moderate,CANO,Wind,814.86,.,2.10285e+09
CANO_landbasedwind_class3_moderate_9,2050,LandbasedWind_Class3_Moderate,CANO,Wind,8.74395e-08,.,0.208021
CANO_landbasedwind_class3_moderate_10,2030,LandbasedWind_Class3_Moderate,CANO,Wind,1.06278e-05,.,34.2678
CANO_landbasedwind_class3_moderate_10,2040,LandbasedWind_Class3_Moderate,CANO,Wind,1.55876e-05,.,42.757
CANO_landbasedwind_class3_moderate_10,2050,LandbasedWind_Class3_Moderate,CANO,Wind,5.38567e-05,.,136.872
CANO_landbasedwind_class3_moderate_11,2030,LandbasedWind_Class3_Moderate,CANO,Wind,3.87104e-05,.,106.057
CANO_landbasedwind_class3_moderate_11,2040,LandbasedWind_Class3_Moderate,CANO,Wind,862.616,.,1.94813e+09
CANO_landbasedwind_class3_moderate_11,2050,LandbasedWind_Class3_Moderate,CANO,Wind,4.29534e-08,.,0.0883465
CANO_landbasedwind_class3_moderate_12,2030,LandbasedWind_Class3_Moderate,CANO,Wind,9.80566e-06,.,31.5228
CANO_landbasedwind_class3_moderate_12,2040,LandbasedWind_Class3_Moderate,CANO,Wind,1.40078e-05,.,38.2889
CANO_landbasedwind_class3_moderate_12,2050,LandbasedWind_Class3_Moderate,CANO,Wind,4.25504e-05,.,107.729
CANO_landbasedwind_class3_moderate_13,2030,LandbasedWind_Class3_Moderate,CANO,Wind,3.4451e-05,.,102.779
CANO_landbasedwind_class3_moderate_13,2040,LandbasedWind_Class3_Moderate,CANO,Wind,879.12,.,2.19956e+09
CANO_landbasedwind_class3_moderate_13,2050,LandbasedWind_Class3_Moderate,CANO,Wind,3.00601e-07,.,0.6915
CANO_landbasedwind_class3_moderate_14,2030,LandbasedWind_Class3_Moderate,CANO,Wind,8.31479e-06,.,27.0395
CANO_landbasedwind_class3_moderate_14,2040,LandbasedWind_Class3_Moderate,CANO,Wind,5.50154e-06,.,15.2428
CANO_landbasedwind_class3_moderate_14,2050,LandbasedWind_Class3_Moderate,CANO,Wind,1.7696e-05,.,45.4616
CANO_landbasedwind_class3_moderate_15,2030,LandbasedWind_Class3_Moderate,CANO,Wind,2.1826e-05,.,59.2357
CANO_landbasedwind_class3_moderate_15,2040,LandbasedWind_Class3_Moderate,CANO,Wind,759.443,.,1.69557e+09
