GenCapacity_index_1,GenCapacity_index_2,GenCapacity
NWPP_conventional_steam_coal_2,2040,147.5
NWPP_conventional_steam_coal_2,2050,147.5
NWPP_geothermal_1,2030,30.8
NWPP_geothermal_1,2040,30.8
NWPP_geothermal_1,2050,0.0
NWPP_hydroelectric_pumped_storage_1,2030,314.0
NWPP_hydroelectric_pumped_storage_1,2040,314.0
NWPP_hydroelectric_pumped_storage_1,2050,314.0
NWPP_natural_gas_fired_combined_cycle_1,2030,2922.0
NWPP_natural_gas_fired_combined_cycle_1,2040,2405.0
NWPP_natural_gas_fired_combined_cycle_1,2050,1898.0
NWPP_natural_gas_fired_combined_cycle_2,2030,4016.2
NWPP_natural_gas_fired_combined_cycle_2,2040,4016.2
NWPP_natural_gas_fired_combined_cycle_2,2050,4016.2
NWPP_natural_gas_fired_combustion_turbine_1,2030,1018.5
NWPP_natural_gas_fired_combustion_turbine_1,2040,724.5
NWPP_natural_gas_fired_combustion_turbine_1,2050,411.5
NWPP_natural_gas_fired_combustion_turbine_2,2030,324.4
NWPP_natural_gas_fired_combustion_turbine_2,2040,0.0
NWPP_natural_gas_fired_combustion_turbine_2,2050,0.0
NWPP_natural_gas_internal_combustion_engine_1,2030,304.99999999999994
NWPP_natural_gas_internal_combustion_engine_1,2040,304.99999999999994
NWPP_natural_gas_internal_combustion_engine_1,2050,304.99999999999994
NWPP_natural_gas_steam_turbine_1,2030,3.0
NWPP_natural_gas_steam_turbine_1,2040,3.0
NWPP_natural_gas_steam_turbine_1,2050,3.0
NWPP_nuclear_1,2030,1172.0
NWPP_nuclear_1,2040,1172.0
NWPP_nuclear_1,2050,1172.0
NWPP_onshore_wind_turbine_1,2030,8695.4
NWPP_onshore_wind_turbine_1,2040,4669.8
NWPP_onshore_wind_turbine_1,2050,1449.8999999999999
NWPP_petroleum_liquids_1,2030,21.3
NWPP_petroleum_liquids_1,2040,15.3
NWPP_petroleum_liquids_1,2050,2.0
NWPP_small_hydroelectric_1,2030,698.9000000000001
NWPP_small_hydroelectric_1,2040,681.3000000000001
NWPP_small_hydroelectric_1,2050,671.8000000000002
NWPP_solar_photovoltaic_1,2030,1768.9
NWPP_solar_photovoltaic_1,2040,1768.4
NWPP_solar_photovoltaic_1,2050,1333.9
NYCW_batteries_1,2030,24.200000000000003
NYCW_batteries_1,2040,0.0
NYCW_batteries_1,2050,0.0
NYCW_biomass_2,2030,27.5
NYCW_biomass_2,2040,3.0
NYCW_biomass_2,2050,3.0
NYCW_natural_gas_fired_combined_cycle_1,2030,1428.5
NYCW_natural_gas_fired_combined_cycle_1,2040,1428.5
NYCW_natural_gas_fired_combined_cycle_1,2050,1367.7
NYCW_natural_gas_fired_combined_cycle_2,2030,2816.5
NYCW_natural_gas_fired_combined_cycle_2,2040,2816.5
NYCW_natural_gas_fired_combined_cycle_2,2050,2816.5
NYCW_natural_gas_fired_combustion_turbine_2,2030,1057.3
NYCW_natural_gas_fired_combustion_turbine_2,2040,1057.3
NYCW_natural_gas_fired_combustion_turbine_2,2050,1010.2000000000002
NYCW_natural_gas_fired_combustion_turbine_3,2030,1019.6
NYCW_natural_gas_fired_combustion_turbine_3,2040,1019.6
NYCW_natural_gas_fired_combustion_turbine_3,2050,1019.6
NYCW_natural_gas_internal_combustion_engine_1,2030,37.39999999999999
NYCW_natural_gas_internal_combustion_engine_1,2040,37.39999999999999
NYCW_natural_gas_internal_combustion_engine_1,2050,37.39999999999999
NYCW_natural_gas_steam_turbine_1,2030,15.0
NYCW_natural_gas_steam_turbine_1,2040,15.0
