,Race,Cluster,Pollutant,Exposure
346,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,NOx,1.9586251467413028e-10
347,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,PM2_5,2.4685056109599347e-09
348,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,SOx,2.373938737441064e-11
349,Asian,FRCC_naturalgas_ccccsavgcf_conservative_0,VOC,1.802418361457023e-11
350,Asian,FRCC_naturalgas_ctavgcf_moderate_0,NH3,2.7565515244282747e-09
351,Asian,FRCC_naturalgas_ctavgcf_moderate_0,NOx,5.693807882486521e-10
352,Asian,FRCC_naturalgas_ctavgcf_moderate_0,PM2_5,1.6560040504232403e-09
353,Asian,FRCC_naturalgas_ctavgcf_moderate_0,SOx,1.9329554406739238e-11
354,Asian,FRCC_naturalgas_ctavgcf_moderate_0,VOC,2.181200446850514e-11
355,Asian,FRCC_nuclear_1,NH3,0.0
356,Asian,FRCC_nuclear_1,NOx,0.0
357,Asian,FRCC_nuclear_1,PM2_5,0.0
358,Asian,FRCC_nuclear_1,SOx,0.0
359,Asian,FRCC_nuclear_1,VOC,0.0
360,Asian,FRCC_petroleum_liquids_1,NH3,1.4061409703654927e-11
361,Asian,FRCC_petroleum_liquids_1,NOx,2.3035048661366337e-12
362,Asian,FRCC_petroleum_liquids_1,PM2_5,1.1645982551502523e-11
363,Asian,FRCC_petroleum_liquids_1,SOx,1.5948173405022691e-12
364,Asian,FRCC_petroleum_liquids_1,VOC,3.6073582558247855e-14
365,Asian,FRCC_solar_photovoltaic_1,NH3,0.0
366,Asian,FRCC_solar_photovoltaic_1,NOx,0.0
